Field1	Field2	Title1	Image1	productlink_URL1	Money1	Price1	Tag1	Info1							
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	SOFT BOMBER JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/soft-bomber-jacket-p03046272.html		2	49.90 USD	49.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	BLAZER WITH ROLLED-UP SLEEVES	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/blazer-with-rolled-up-sleeves-p07940760.html		2	69.90 USD	69.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	ZIPPERED WOOL BLEND JACKET ZW COLLECTION	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/zippered-wool-blend-jacket-zw-collection-p02143866.html			129.00 USD	129.00 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html		2	129.00 USD	129.00 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	DOUBLE SIDED SHORT JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-sided-short-jacket-p08073235.html			109.00 USD	109.00 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	COMBINATION PUFFER JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/combination-puffer-jacket-p08073205.html	FEW ITEMS LEFT		59.90 USD	59.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	TAILORED DOUBLE BREASTED BLAZER	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/tailored-double-breasted-blazer-p07792293.html	FEW ITEMS LEFT	3	89.90 USD	89.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	CROPPED SOFT JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/cropped-soft-jacket-p03046038.html	FEW ITEMS LEFT	2	49.90 USD	49.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	HIGH COLLAR DOUBLE BREASTED CROPPED COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/high-collar-double-breasted-cropped-coat-p02372142.html	FEW ITEMS LEFT		109.00 USD	109.00 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	BOUCLÉ KNIT CARDIGAN	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/boucle-knit-cardigan-p01822002.html			59.90 USD	59.90 USD
